r1,r2,r3,ap,at,sl,pnl,trades
0.4,0.25,0.7,2,0.5,2.4,-56.79999999999335,16
0.4,0.25,0.75,2,0.5,2.4,-56.79999999999335,16
0.4,0.25,0.8,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.4,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.45,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.5,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.55,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.5,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.45,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.4,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.35,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.3,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.65,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.15,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.1,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.05,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.0,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.95,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.9,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.7,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.75,2,0.5,2.4,-56.79999999999335,16
0.85,0.15,0.1,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.85,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.8,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.75,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.7,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.65,2,0.5,2.4,-56.79999999999335,16
0.35,0.15,0.6,2,0.5,2.4,-56.79999999999335,16
0.4,0.25,0.85,2,0.5,2.4,-56.79999999999335,16
0.4,0.25,0.95,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.1,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.7,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.2,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.15,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.1,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.05,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.0,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.95,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.9,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.85,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.8,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.75,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.65,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.0,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.6,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.55,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.5,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.45,2,0.5,2.4,-56.79999999999335,16
0.35,0.2,0.55,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.35,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.3,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.25,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.2,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.15,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.25,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.0,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.05,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.1,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.05,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.3,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.2,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.25,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.3,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.35,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.4,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.45,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.5,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.55,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.6,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.65,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.7,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.75,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.8,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.85,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.9,2,0.5,2.4,-56.79999999999335,16
0.4,0.3,0.95,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.25,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.2,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.15,2,0.5,2.4,-56.79999999999335,16
0.85,0.15,0.15,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.45,2,0.5,2.4,-56.79999999999335,16
0.85,0.15,0.05,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.2,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.5,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.45,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.4,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.35,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.3,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.25,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.15,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.6,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.1,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.05,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.0,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.95,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.9,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.85,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.55,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.65,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.75,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.4,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.7,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.65,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.6,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.55,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.5,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.45,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.35,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.7,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.0,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.95,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.9,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.85,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.8,2,0.5,2.4,-56.79999999999335,16
0.95,0.25,0.75,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.8,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.7,2,0.5,2.4,-56.79999999999335,16
0.85,0.15,0.0,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.4,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.7,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.65,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.6,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.55,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.5,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.45,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.35,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.8,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.3,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.25,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.2,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.15,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.1,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.05,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.75,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.85,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.65,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.3,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.6,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.55,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.5,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.45,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.4,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.35,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.25,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.9,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.2,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.15,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.1,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.05,2,0.5,2.4,-56.79999999999335,16
0.95,0.2,0.0,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.95,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.75,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.8,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.85,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.6,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.9,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.85,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.8,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.75,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.7,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.65,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.55,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.0,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.5,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.45,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.4,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.35,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.3,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.25,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.95,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.05,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.9,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.5,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.8,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.75,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.7,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.65,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.6,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.55,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.45,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.1,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.4,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.35,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.3,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.25,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.2,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.15,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.2,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.15,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.1,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.95,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.65,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.7,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.75,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.8,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.85,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.9,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.25,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.05,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.2,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.15,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.1,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.05,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.0,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.95,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.6,2,0.5,2.4,-56.79999999999335,16
0.65,0.3,0.55,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.95,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.9,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.85,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.8,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.75,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.7,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.65,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.6,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.55,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.5,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.45,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.4,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.35,2,0.5,2.4,-56.79999999999335,16
0.7,0.3,0.3,2,0.5,2.4,-56.79999999999335,16
0.65,0.15,0.0,2,0.5,2.4,-56.79999999999335,16
0.95,0.15,0.0,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.3,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.25,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.0,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.3,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.25,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.2,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.15,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.1,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.05,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.95,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.4,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.9,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.85,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.8,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.75,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.7,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.65,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.35,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.45,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.3,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.9,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.2,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.15,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.1,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.05,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.0,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.95,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.85,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.5,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.8,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.75,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.7,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.65,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.6,2,0.5,2.4,-56.79999999999335,16
0.6,0.25,0.55,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.6,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.55,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.5,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.25,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.55,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.5,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.45,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.4,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.35,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.3,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.2,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.45,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.15,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.1,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.05,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.0,2,0.5,2.4,-56.79999999999335,16
0.65,0.2,0.95,2,0.5,2.4,-56.79999999999335,16
0.65,0.25,0.0,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.6,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.65,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.7,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.75,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.8,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.85,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.9,2,0.5,2.4,-56.79999999999335,16
0.6,0.15,0.95,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.0,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.05,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.1,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.15,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.2,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.25,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.3,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.35,2,0.5,2.4,-56.79999999999335,16
0.6,0.2,0.4,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.25,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.35,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.2,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.95,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.25,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.2,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.15,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.1,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.05,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.0,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.9,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.35,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.85,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.8,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.75,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.7,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.65,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.6,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.3,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.4,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.4,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.85,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.15,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.1,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.05,2,0.5,2.4,-56.79999999999335,16
0.7,0.25,0.0,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.95,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.9,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.8,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.45,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.75,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.7,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.65,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.6,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.55,2,0.5,2.4,-56.79999999999335,16
0.7,0.2,0.5,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.55,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.5,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.45,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.85,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.8,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.85,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.9,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.95,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.95,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.9,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.8,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.4,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.75,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.7,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.65,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.6,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.55,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.45,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.75,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.7,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.65,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.6,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.55,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.5,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.45,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.4,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.35,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.3,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.25,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.2,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.15,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.1,2,0.5,2.4,-56.79999999999335,16
0.95,0.3,0.05,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.3,2,0.5,2.4,-56.79999999999335,16
0.7,0.15,0.35,2,0.5,2.4,-56.79999999999335,16
0.6,0.3,0.5,2,0.5,2.4,-56.79999999999335,16
0.55,0.3,0.55,2,0.5,2.4,-56.79999999999335,16
0.4,0.2,0.0,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.6,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.95,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.9,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.85,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.8,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.75,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.7,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.65,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.55,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.05,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.5,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.45,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.4,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.35,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.3,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.25,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.2,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.0,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.1,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.15,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.6,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.95,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.9,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.85,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.8,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.75,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.7,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.65,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.55,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.15,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.5,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.45,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.4,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.35,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.3,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.25,2,0.5,2.4,-56.79999999999335,16
0.5,0.3,0.2,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.15,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.1,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.05,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.65,2,0.5,2.4,-56.79999999999335,16
0.5,0.2,0.0,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.95,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.9,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.85,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.8,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.75,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.7,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.6,2,0.5,2.4,-56.79999999999335,16
0.5,0.25,0.0,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.55,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.5,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.45,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.4,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.35,2,0.5,2.4,-56.79999999999335,16
0.5,0.15,0.3,2,0.5,2.4,-56.79999999999335,16
